#t	PDR	Latency	Energy	Overhead	Hops	Band Usage				Packet per tau	Parallel Communications
0	0.0	0	0	0	0	0	0	0	0	0	0
30	0.21	9.2	130.03	0.35	4.25	0.594	0.094	0.0	0.312	28.97	13.37
60	0.38	18.2	65.36	0.21	5.25	0.644	0.085	0.0	0.271	44.33	17.13
90	0.43	20.86	58.39	0.23	5.86	0.652	0.109	0.0	0.239	56.68	19.59
120	0.46	28.72	34.56	0.27	8.14	0.657	0.088	0.0	0.255	60.7	20.18
150	0.51	30.31	34.89	0.74	7.98	0.662	0.083	0.0	0.255	65.85	20.79
180	0.49	33.56	28.51	1.09	7.36	0.669	0.078	0.0	0.254	73.17	21.58
210	0.48	36.16	17.77	1.3	7.54	0.661	0.067	0.0	0.272	78.29	22.07
240	0.5	35.56	15.81	2.08	7.23	0.662	0.073	0.0	0.265	82.54	22.46
270	0.58	41.56	12.95	2.21	7.79	0.662	0.064	0.0	0.274	84.59	22.72
300	0.63	45.0	13.01	2.67	8.01	0.659	0.064	0.0	0.277	87.21	22.92
330	0.69	49.62	12.36	2.85	8.28	0.658	0.064	0.0	0.277	88.06	22.96
360	0.72	52.99	12.46	4.55	8.54	0.657	0.064	0.0	0.279	87.65	22.85
